Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
net.sourceforge.ganttproject.TaskTreeImageGenerator.PaintState,2,1,0,0,1,0
net.sourceforge.ganttproject.TaskTreeImageGeneratorExt,14,2,3,0,45,23
net.sourceforge.ganttproject.TestSetupHelper,23,1,8,0,10,8
net.sourceforge.ganttproject.TestSetupHelper.TaskManagerBuilder,26,1,7,0,18,10
net.sourceforge.ganttproject.TreeTableCellEditorImpl,4,1,2,0,33,20
net.sourceforge.ganttproject.TreeTableContainer,33,5,8,2,83,44
net.sourceforge.ganttproject.TreeTableContainer.ChartUpdater,2,1,4,0,6,4
net.sourceforge.ganttproject.TreeTableContainer.CollapseAllAction,2,3,1,0,7,3
net.sourceforge.ganttproject.TreeTableContainer.ExpandAllAction,2,3,1,0,7,3
net.sourceforge.ganttproject.TreeTableContainer.ExpandCollapseAction,2,3,1,0,9,4
net.sourceforge.ganttproject.TreeUtil,11,1,7,0,29,26
net.sourceforge.ganttproject.UIFacadeImpl,56,2,20,0,194,109
net.sourceforge.ganttproject.UIFacadeImpl.LafOption,7,3,5,0,20,8
net.sourceforge.ganttproject.action.ActionDelegate,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActionStateChangedListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActiveActionProvider,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ArtefactAction,9,3,1,3,22,13
net.sourceforge.ganttproject.action.ArtefactDeleteAction,5,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactNewAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactPropertiesAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.BaselineDialogAction,12,3,1,0,28,16
net.sourceforge.ganttproject.action.CalculateCriticalPathAction,5,3,1,0,13,10
net.sourceforge.ganttproject.action.CancelAction,17,3,1,9,4,3
net.sourceforge.ganttproject.action.GPAction,103,2,6,86,73,65
net.sourceforge.ganttproject.action.GPAction.IconSize,19,n/a,3,n/a,4,2
net.sourceforge.ganttproject.action.OkAction,10,3,1,16,5,4
net.sourceforge.ganttproject.action.ShowChannelAction,6,3,1,0,20,10
net.sourceforge.ganttproject.action.ViewToggleAction,5,3,2,0,9,5
net.sourceforge.ganttproject.action.edit.CopyAction,5,3,1,0,12,6
net.sourceforge.ganttproject.action.edit.CutAction,6,3,1,0,12,7
net.sourceforge.ganttproject.action.edit.EditMenu,12,7,3,0,19,4
net.sourceforge.ganttproject.action.edit.PasteAction,18,3,1,0,37,14
net.sourceforge.ganttproject.action.edit.RedoAction,6,3,2,0,20,11
net.sourceforge.ganttproject.action.edit.RefreshViewAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.edit.SearchDialogAction,3,3,1,0,4,2
net.sourceforge.ganttproject.action.edit.SettingsDialogAction,8,3,1,0,6,3
net.sourceforge.ganttproject.action.edit.UndoAction,6,3,2,0,21,11
net.sourceforge.ganttproject.action.help.HelpMenu,9,1,1,0,8,2
net.sourceforge.ganttproject.action.help.HelpMenu.AboutAction,5,3,1,0,5,2
net.sourceforge.ganttproject.action.help.HelpMenu.RecoverLastProjectAction,12,3,1,0,23,9
net.sourceforge.ganttproject.action.help.HelpMenu.ViewLogAction,4,3,1,0,4,2
net.sourceforge.ganttproject.action.project.CloudProjectActionBase,12,3,1,2,12,6
net.sourceforge.ganttproject.action.project.ExitAction,3,3,2,0,5,3
net.sourceforge.ganttproject.action.project.NewProjectAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction,8,3,1,0,11,5
net.sourceforge.ganttproject.action.project.OpenProjectAction,8,3,2,0,14,7
net.sourceforge.ganttproject.action.project.OpenURLAction,9,4,1,0,10,6
net.sourceforge.ganttproject.action.project.PrintAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.ProjectExportAction,6,3,2,0,7,4
net.sourceforge.ganttproject.action.project.ProjectImportAction,6,3,2,0,8,4
net.sourceforge.ganttproject.action.project.ProjectMenu,17,7,5,0,31,6
net.sourceforge.ganttproject.action.project.ProjectPreviewAction,7,3,2,0,13,5
net.sourceforge.ganttproject.action.project.ProjectPropertiesAction,8,3,2,0,10,5
net.sourceforge.ganttproject.action.project.SaveProjectAction,7,3,7,0,18,12
net.sourceforge.ganttproject.action.project.SaveProjectAsAction,3,3,2,0,6,4
net.sourceforge.ganttproject.action.project.SaveURLAction,8,4,1,0,10,5
net.sourceforge.ganttproject.action.resource.AssignmentDeleteAction,12,3,1,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceAction,13,3,3,4,15,10
net.sourceforge.ganttproject.action.resource.ResourceActionSet,14,1,5,0,19,10
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction,12,4,1,0,17,8
net.sourceforge.ganttproject.action.resource.ResourceImportAction,14,4,2,0,11,7
net.sourceforge.ganttproject.action.resource.ResourceMoveDownAction,6,3,2,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceMoveUpAction,6,3,2,0,16,7
net.sourceforge.ganttproject.action.resource.ResourceNewAction,12,4,2,0,23,9
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction,12,4,1,0,20,9
net.sourceforge.ganttproject.action.resource.ResourceSendMailAction,7,3,2,0,14,6
net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction,6,3,1,0,7,3
net.sourceforge.ganttproject.action.scroll.ScrollToEndAction,7,3,1,0,10,3
net.sourceforge.ganttproject.action.scroll.ScrollToSelectionAction,8,3,2,0,14,7
net.sourceforge.ganttproject.action.scroll.ScrollToStartAction,7,3,1,0,8,2
net.sourceforge.ganttproject.action.scroll.ScrollToTodayAction,4,3,1,0,5,2
net.sourceforge.ganttproject.action.task.IndentTargetFunctionFactory,5,1,1,0,2,4
net.sourceforge.ganttproject.action.task.OutdentTargetFunctionFactory,5,1,2,0,4,5
net.sourceforge.ganttproject.action.task.TaskActionBase,25,3,4,8,36,19
net.sourceforge.ganttproject.action.task.TaskDeleteAction,13,4,5,0,30,13
net.sourceforge.ganttproject.action.task.TaskIndentAction,18,4,4,0,29,12
net.sourceforge.ganttproject.action.task.TaskIndentAction.IndentApplyFxn,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.task.TaskLinkAction,14,4,4,0,24,12
net.sourceforge.ganttproject.action.task.TaskMoveDownAction,13,4,4,0,28,12
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate,10,1,1,0,15,8
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicateTest,8,4,3,0,17,3
net.sourceforge.ganttproject.action.task.TaskMoveUpAction,13,4,4,0,28,12
net.sourceforge.ganttproject.action.task.TaskNewAction,13,3,2,0,18,12
net.sourceforge.ganttproject.action.task.TaskPropertiesAction,11,4,3,0,19,9
net.sourceforge.ganttproject.action.task.TaskUnindentAction,16,4,4,0,29,12
net.sourceforge.ganttproject.action.task.TaskUnindentAction.UnindentApplyFxn,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.task.TaskUnlinkAction,9,4,4,0,18,10
net.sourceforge.ganttproject.action.view.ViewChartOptionsDialogAction,8,3,2,0,20,11
net.sourceforge.ganttproject.action.view.ViewCycleAction,3,3,1,0,5,4
net.sourceforge.ganttproject.action.view.ViewMenu,11,7,0,0,13,3
net.sourceforge.ganttproject.action.view.ViewMenu.GPViewImpl,3,1,3,0,5,4
net.sourceforge.ganttproject.action.zoom.ZoomActionSet,9,1,2,0,6,3
net.sourceforge.ganttproject.action.zoom.ZoomInAction,5,3,2,0,9,5
net.sourceforge.ganttproject.action.zoom.ZoomOutAction,5,3,2,0,9,5
net.sourceforge.ganttproject.application.MainApplication,2,1,1,0,12,3
net.sourceforge.ganttproject.calendar.CalendarEditorPanel,19,1,1,0,68,27
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.ColorEditor,7,2,1,0,23,12
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.DateCellRendererImpl,2,1,1,0,7,4
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.FocusSetter,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.TableModelImpl,7,2,4,0,38,28
net.sourceforge.ganttproject.calendar.CalendarEditorPanel.TableModelImpl.Column,4,n/a,5,n/a,10,4
net.sourceforge.ganttproject.calendar.GPCalendarProvider,10,1,2,0,32,12
net.sourceforge.ganttproject.calendar.GPCalendarProvider.CalendarTagHandler,5,2,2,0,9,3
net.sourceforge.ganttproject.chart.BackgroundRendererImpl,7,3,2,0,11,4
net.sourceforge.ganttproject.chart.Chart,n/a,n/a,n/a,n/a,17,n/a
net.sourceforge.ganttproject.chart.ChartModel,n/a,n/a,n/a,n/a,25,n/a
net.sourceforge.ganttproject.chart.ChartModelBase,74,1,5,2,145,109
net.sourceforge.ganttproject.chart.ChartModelBase.OptionEventDispatcher,3,1,1,0,2,1
net.sourceforge.ganttproject.chart.ChartModelBase.ScrollingSession,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.ChartModelBase.ScrollingSessionImpl,6,1,1,0,18,9
net.sourceforge.ganttproject.chart.ChartModelImpl,33,2,5,0,65,34
net.sourceforge.ganttproject.chart.ChartModelResource,15,2,4,0,29,10
net.sourceforge.ganttproject.chart.ChartModelResource.ResourceLoadOption,2,3,3,2,6,4
net.sourceforge.ganttproject.chart.ChartOptionGroup,6,2,1,0,5,2
net.sourceforge.ganttproject.chart.ChartRendererBase,16,2,4,4,21,13
net.sourceforge.ganttproject.chart.ChartSelection,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.chart.ChartSelectionListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.ChartUIConfiguration,20,1,13,0,48,34
net.sourceforge.ganttproject.chart.ChartUIConfiguration.ChartPropertiesOption,6,2,6,0,27,14
net.sourceforge.ganttproject.chart.ChartViewState,17,1,1,0,25,12
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,1,1,1,0,9,9
net.sourceforge.ganttproject.chart.GanttChart,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.chart.MilestoneTaskFakeActivity,6,1,6,0,19,13
net.sourceforge.ganttproject.chart.OffsetManagerTest,8,3,1,0,13,1
net.sourceforge.ganttproject.chart.OffsetManagerTest.TestOffsetBuilderFactory,7,1,2,0,12,3
net.sourceforge.ganttproject.chart.ProjectCalendarDialogAction,10,3,1,0,19,5
net.sourceforge.ganttproject.chart.ResourceChart,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,25,3,1,0,63,34
net.sourceforge.ganttproject.chart.ResourceLoadRenderer.ResourceLoad,1,1,1,0,4,3
net.sourceforge.ganttproject.chart.SimpleRenderedImage,3,1,6,1,59,49
net.sourceforge.ganttproject.chart.StyledPainterImpl,19,1,1,0,45,34
net.sourceforge.ganttproject.chart.StyledPainterImpl.ColouredRectanglePainter,4,1,1,0,8,2
net.sourceforge.ganttproject.chart.StyledPainterImpl.RectanglePainter,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.TaskActivityPart,6,1,2,0,30,13
net.sourceforge.ganttproject.chart.TaskChartModelFacade,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.chart.TaskInteractionHintRenderer,3,1,1,0,12,4
net.sourceforge.ganttproject.chart.TaskRendererImpl2,51,3,3,0,118,80
net.sourceforge.ganttproject.chart.TaskRendererImpl2.BarChartConnectorImpl,10,1,2,0,18,11
net.sourceforge.ganttproject.chart.TaskRendererImpl2.TaskActivityChartApi,8,1,5,0,17,8
net.sourceforge.ganttproject.chart.TaskRendererImpl2.VerticalPartitioning,4,1,1,0,11,11
net.sourceforge.ganttproject.chart.TaskRendererImplTest,22,4,3,0,69,6
net.sourceforge.ganttproject.chart.TestCanvas,3,3,1,0,8,1
net.sourceforge.ganttproject.chart.TestOffsetBuilder,8,3,1,0,25,1
net.sourceforge.ganttproject.chart.TestPainter,9,1,6,1,9,8
net.sourceforge.ganttproject.chart.TestTextLengthCalculator,2,1,2,0,6,5
net.sourceforge.ganttproject.chart.TestTimelineLabelRendererImpl,18,3,1,0,37,7
net.sourceforge.ganttproject.chart.TestTimelineLabelRendererImpl.TestChartModelApi,7,1,3,0,12,7
net.sourceforge.ganttproject.chart.TimelineChart,n/a,n/a,n/a,n/a,11,n/a
net.sourceforge.ganttproject.chart.TimelineChart.VScrollController,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl,15,3,1,0,26,8
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl.ChartModelApi,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.chart.TimelineLabelRendererImpl.LabelTextSelector,7,1,1,0,9,7
net.sourceforge.ganttproject.chart.VisibleNodesFilter,4,1,1,0,11,6
net.sourceforge.ganttproject.chart.export.ChartDimensions,6,1,2,0,16,8
net.sourceforge.ganttproject.chart.export.ChartImageBuilder,13,1,1,0,41,4
net.sourceforge.ganttproject.chart.export.ChartImageVisitor,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.chart.export.RenderedChartImage,4,2,1,0,24,6
net.sourceforge.ganttproject.chart.gantt.ClipboardContents,18,1,1,0,42,28
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessor,20,1,1,0,64,28
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessorTest,18,3,6,0,69,11
net.sourceforge.ganttproject.chart.gantt.GanttChartController,44,2,5,0,72,33
net.sourceforge.ganttproject.chart.gantt.GanttChartSelection,15,2,2,0,31,11
net.sourceforge.ganttproject.chart.gantt.MouseListenerImpl,19,3,1,0,40,24
net.sourceforge.ganttproject.chart.gantt.MouseMotionListenerImpl,20,3,1,0,35,15
net.sourceforge.ganttproject.chart.item.CalendarChartItem,4,2,1,0,3,2
net.sourceforge.ganttproject.chart.item.ChartItem,18,1,1,6,2,2
net.sourceforge.ganttproject.chart.item.TaskBoundaryChartItem,9,2,1,0,3,2
net.sourceforge.ganttproject.chart.item.TaskNotesChartItem,4,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem,8,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TaskRegularAreaChartItem,8,2,0,0,2,1
net.sourceforge.ganttproject.chart.item.TimelineLabelChartItem,3,2,0,0,2,1
net.sourceforge.ganttproject.chart.mouse.ChangeTaskBoundaryInteraction,13,2,2,2,24,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskEndInteraction,15,3,2,0,24,4
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressInteraction,17,2,2,0,29,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressRuler,10,1,1,0,21,10
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressRulerTest,11,3,1,0,35,3
net.sourceforge.ganttproject.chart.mouse.ChangeTaskStartInteraction,14,3,2,0,23,5
net.sourceforge.ganttproject.chart.mouse.DrawDependencyInteraction,18,2,1,0,21,8
net.sourceforge.ganttproject.chart.mouse.DrawDependencyInteraction.ChartModelFacade,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteraction,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteraction.TimelineFacade,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.chart.mouse.MouseInteractionBase,10,1,2,5,11,6
net.sourceforge.ganttproject.chart.mouse.MouseListenerBase,8,2,2,2,22,11
net.sourceforge.ganttproject.chart.mouse.MouseMotionListenerBase,5,2,2,1,7,4
net.sourceforge.ganttproject.chart.mouse.MouseWheelListenerBase,4,1,1,1,14,10
net.sourceforge.ganttproject.chart.mouse.MoveTaskInteractions,13,2,1,0,25,11
net.sourceforge.ganttproject.chart.mouse.ScrollViewInteraction,7,2,1,0,18,6
net.sourceforge.ganttproject.chart.mouse.TimelineFacadeImpl,13,1,2,0,17,12
net.sourceforge.ganttproject.chart.overview.GPToolbar,11,1,2,0,20,16
net.sourceforge.ganttproject.chart.overview.HighlightOnMouseOver,0,2,2,0,12,6
net.sourceforge.ganttproject.chart.overview.NavigationPanel,16,1,1,0,26,4
net.sourceforge.ganttproject.chart.overview.PanelBorder,0,5,1,0,5,2
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder,19,1,3,0,43,44
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder.ButtonBuilder,4,1,1,0,16,3
net.sourceforge.ganttproject.chart.overview.ToolbarBuilder.Gaps,3,1,0,0,0,2
net.sourceforge.ganttproject.chart.overview.ZoomingPanel,8,1,1,0,18,4
net.sourceforge.ganttproject.client.RssFeed,3,1,1,0,5,2
net.sourceforge.ganttproject.client.RssFeed.Item,2,1,0,0,1,1
net.sourceforge.ganttproject.client.RssFeedChecker,24,1,3,0,37,32
net.sourceforge.ganttproject.client.RssFeedChecker.CheckOption,1,n/a,2,n/a,2,0
net.sourceforge.ganttproject.client.RssParser,5,1,1,0,30,25
net.sourceforge.ganttproject.customProperty.CustomPropertyImportTest,3,3,1,0,8,1
net.sourceforge.ganttproject.document.AbstractDocument,4,1,9,2,14,11
net.sourceforge.ganttproject.document.AbstractURLDocument,3,2,0,3,0,0
net.sourceforge.ganttproject.document.Document,n/a,n/a,n/a,n/a,18,n/a
net.sourceforge.ganttproject.document.Document.DocumentException,14,3,0,0,4,2
net.sourceforge.ganttproject.document.Document.ErrorCode,3,n/a,2,n/a,2,0
net.sourceforge.ganttproject.document.DocumentCreator,28,1,5,2,95,51
net.sourceforge.ganttproject.document.DocumentCreator.StringOptionImpl,3,3,3,0,6,4
net.sourceforge.ganttproject.document.DocumentMRUListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.DocumentManager,n/a,n/a,n/a,n/a,15,n/a
net.sourceforge.ganttproject.document.DocumentManager.FTPOptions,7,2,4,1,6,1
net.sourceforge.ganttproject.document.DocumentStorageUi,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.document.DocumentStorageUi.Components,3,1,0,0,1,1
net.sourceforge.ganttproject.document.DocumentStorageUi.DocumentReceiver,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.DocumentsMRU,2,1,1,0,20,11
net.sourceforge.ganttproject.document.DocumentsMRU.Listener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.FileDocument,5,2,4,0,31,24
net.sourceforge.ganttproject.document.FtpDocument,5,3,6,0,36,17
net.sourceforge.ganttproject.document.NetworkOptionPageProvider,16,2,3,0,28,8
net.sourceforge.ganttproject.document.Portfolio,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.ProxyDocument,18,1,3,0,58,29
net.sourceforge.ganttproject.document.ProxyDocument.FailureState,2,1,1,0,1,1
net.sourceforge.ganttproject.document.ProxyDocument.OnlyShowWeekendsTagHandler,3,2,1,0,6,2
net.sourceforge.ganttproject.document.ProxyDocument.ParsingState,33,1,1,0,49,4
net.sourceforge.ganttproject.document.ProxyDocument.PortfolioImpl,4,1,1,0,3,3
net.sourceforge.ganttproject.document.ProxyDocument.PortfolioTagHandler,7,2,1,0,12,9
net.sourceforge.ganttproject.document.ProxyDocument.SuccessState,2,1,1,0,1,1
net.sourceforge.ganttproject.document.ReadOnlyProxyDocument,4,1,8,0,32,19
net.sourceforge.ganttproject.document.webdav.FilesCellRenderer,4,1,1,0,27,6
net.sourceforge.ganttproject.document.webdav.FilesTableModel,5,2,1,0,9,10
net.sourceforge.ganttproject.document.webdav.GanttURLChooser,32,1,3,0,112,77
net.sourceforge.ganttproject.document.webdav.GanttURLChooser.ReloadWorker,6,2,2,0,19,9
net.sourceforge.ganttproject.document.webdav.GanttURLChooser.SelectionListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.document.webdav.HttpDocument,12,3,7,0,40,34
net.sourceforge.ganttproject.document.webdav.HttpDocumentOutputStream,3,3,1,0,8,2
net.sourceforge.ganttproject.document.webdav.MiltonResourceFactory,11,1,1,0,42,17
net.sourceforge.ganttproject.document.webdav.MiltonResourceFactory.Key,1,1,0,0,5,4
net.sourceforge.ganttproject.document.webdav.MiltonResourceImpl,6,1,1,0,61,37
net.sourceforge.ganttproject.document.webdav.WebDavOptionPageProvider,18,2,3,0,42,17
net.sourceforge.ganttproject.document.webdav.WebDavProxyTest,2,3,1,0,13,1
net.sourceforge.ganttproject.document.webdav.WebDavResource,n/a,n/a,n/a,n/a,16,n/a
net.sourceforge.ganttproject.document.webdav.WebDavResource.WebDavException,9,3,0,0,4,2
net.sourceforge.ganttproject.document.webdav.WebDavResource.WebDavRuntimeException,2,4,0,0,6,3
net.sourceforge.ganttproject.document.webdav.WebDavServerDescriptor,7,1,3,0,15,11
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl,27,1,2,0,45,24
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl.ServerListOption,8,2,1,0,33,21
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl.ServerListOption.EnumerationOptionImpl,4,3,3,0,15,5
net.sourceforge.ganttproject.document.webdav.WebDavUri,7,1,1,0,20,8
net.sourceforge.ganttproject.export.CommandLineExportApplication,16,1,1,0,41,16
net.sourceforge.ganttproject.export.CommandLineExportApplication.Args,1,1,0,0,0,0
net.sourceforge.ganttproject.export.ConsoleUIFacade,23,1,31,0,52,41
